"observation","y","map_cluster","cluster_1","cluster_2","cluster_3"
56,-2.54981289872734,2,1.72178716976464e-10,0.92791835905333,0.0720816407744908
57,-0.018559832714638,3,0.000162497207661795,0.0109358269319429,0.988901675860395
58,-0.318068374543844,3,4.28886243313879e-05,0.0248614362331979,0.975095675142471
59,-0.929362147453702,3,2.61839220735484e-06,0.123000813650896,0.876996567956897
60,-1.48746031014148,3,1.53813117064834e-07,0.39944697097554,0.600552875211343
61,-4.07519229661568,2,3.20023838265193e-15,0.998897911673405,0.00110208832659192
62,5.00002880371391,1,0.99999843986444,1.43907307487347e-14,1.56013554526947e-06
63,3.37873330520318,1,0.998046512761667,1.65778780692071e-09,0.00195348558054486
64,-1.38442684738449,3,2.68873178161274e-07,0.332892490046186,0.667107241080636
65,5.86929062242358,1,0.999999965967328,2.779207749382e-17,3.40326714897052e-08
66,4.42510037737245,1,0.999980415435245,8.97879198601782e-13,1.95845638569141e-05
67,-0.238647100913033,3,6.1132024164948e-05,0.0200202626872087,0.979918605288626
68,5.05848304870902,1,0.999998793717049,9.45293893177153e-15,1.20628294155459e-06
69,4.88642265137494,1,0.999997427962362,3.25689355937719e-14,2.57203760590437e-06
70,-3.61924304823115,2,8.46448764938355e-14,0.996080241715433,0.00391975828448226
71,-0.793897535459533,3,4.94384597166317e-06,0.0876933624358846,0.912301693718144
72,-3.25502703014102,2,1.1530062317353e-12,0.989249507414565,0.0107504925842821
73,-4.42449465021281,2,2.59912397157602e-16,0.999583685909871,0.000416314090129142
74,3.85560039804578,1,0.999760004426014,5.38660848595718e-11,0.000239995520119656
75,0.207538339232345,3,0.000441625041504611,0.00584919155809885,0.993709183400397
76,6.30797839905936,1,0.999999995062474,1.18624039595879e-18,4.93752607524455e-09
77,-2.89419763210629,2,1.51512370543258e-11,0.971129443763298,0.0288705562215508
78,-2.54300119457659,2,1.80571072172106e-10,0.926637290213438,0.0733627096059906
79,-0.077152935356531,3,0.000125325923098474,0.0128527586683803,0.987021915408521
80,-3.33400084236654,2,6.54891966952023e-13,0.991356391157848,0.00864360884149734
81,-3.03472602831128,2,5.56865468876354e-12,0.980306427360976,0.0196935726334555
82,-2.21236039436984,2,1.75093765600562e-09,0.8339639585975,0.166036039651562
83,-0.924754991347715,3,2.67622155622523e-06,0.121621421191564,0.87837590258688
84,5.02739243876377,1,0.999998616856889,1.18207044519554e-14,1.383143099137e-06
85,1.2079083983867,3,0.0349943784409055,0.000348745551694358,0.9646568760074
86,-4.23132342155804,2,1.04196038797464e-15,0.999286701697161,0.000713298302838035
87,-2.01610442994662,2,6.40405106036348e-09,0.743954566482709,0.25604542711324
88,4.21992480366065,1,0.99995169218576,3.92501014401075e-12,4.83078103148911e-05
89,2.53274997090776,1,0.925076211392108,6.73029317872992e-07,0.0749231155785744
90,4.52102274264814,1,0.99998715904474,4.50521082932945e-13,1.28409548098416e-05
91,-0.158754604716016,3,8.72332742899935e-05,0.0160852839955864,0.983827482730124
92,1.4645873119698,3,0.10090223521017,0.000158841150496535,0.898938923639333
93,-0.766081999604665,3,5.62439436972449e-06,0.0816821171716151,0.918312258434015
94,3.56978824607145,1,0.999156347784557,4.20209815480601e-10,0.000843651795232791
95,-0.926109497377437,3,2.6590932848113e-06,0.122025574299845,0.87797176660687
96,-0.17710396143654,3,8.03989838753945e-05,0.0169157288683296,0.983003872147795
97,4.40201177948634,1,0.999978321052931,1.06000592165315e-12,2.16789460090335e-05
98,3.26825182688039,1,0.996827339121484,3.6640622982925e-09,0.00317265721445347
99,4.83037316798167,1,0.999996708495069,4.87316180094681e-14,3.29150488174621e-06
100,-4.20808278630447,2,1.23139241264309e-15,0.999238971845404,0.000761028154595272
101,-1.04798441280774,3,1.4820930923523e-06,0.163354881621395,0.836643636285513
102,1.44115770684428,3,0.0919249793690444,0.000171258376174449,0.907903762254781
103,-4.01584746530465,2,4.90222318768722e-15,0.998699794997071,0.0013002050029245
104,4.41197471231752,1,0.999979250951291,9.86735310918152e-13,2.07490477218103e-05
105,3.61892394889108,1,0.999320279667235,2.95200635334091e-10,0.000679720037563815
106,0.409401839650934,3,0.00107562214903763,0.00333739861184238,0.99558697923912
107,5.68887328620405,1,0.999999924717178,1.01683809483433e-16,7.5282821832684e-08
108,1.58658843344197,3,0.161065741158749,0.000105470742311567,0.83882878809894
109,-3.33090780068277,2,6.69568141724924e-13,0.99128215711492,0.00871784288441024
110,-2.28523553529247,2,1.0695384387508e-09,0.860234011511585,0.139765987418876
111,-0.502338410165836,3,1.87497405109651e-05,0.040882717014233,0.959098533245256
112,4.66706616676549,1,0.999993247059742,1.57657718552894e-13,6.75294010065472e-06
113,4.5413273359637,1,0.999988256617221,3.89329233880684e-13,1.17433823898253e-05
114,-3.01339952314591,2,6.48359419286619e-12,0.979124713047879,0.0208752869456376
115,0.510108422952926,3,0.0016757797321987,0.00252070155505018,0.995803518712751
116,-3.16437583176967,2,2.20565623630291e-12,0.986199689031787,0.0138003109660078
117,4.42069464325451,1,0.999980032041686,9.26774559262731e-13,1.99679573875873e-05
118,-0.400246743977644,3,2.96839933572728e-05,0.0310669212287294,0.968903394777913
119,2.62979212245254,1,0.949809860813087,3.43946607513879e-07,0.0501897952403058
120,4.98783826745488,1,0.999998353885947,1.57089172406291e-14,1.64611403720271e-06
121,-1.48025497450045,3,1.60040101265915e-07,0.394636096937675,0.605363743022223
122,-3.30874056922561,2,7.84815956680346e-13,0.990731322806734,0.00926867719248138
123,-1.25328975560769,3,5.33183080337124e-07,0.257142303129497,0.742857163687423
124,0.642241305677824,3,0.00299573077452267,0.0017427644631494,0.995261504762328
125,-0.0447091368939791,3,0.000144717096210658,0.0117536710866826,0.988101611817107
126,-4.73321840682484,2,2.82474754903618e-17,0.999823971464657,0.000176028535343382
127,-2.99786814031973,2,7.24284993165488e-12,0.978220709840346,0.0217792901524109
128,-3.63030033392815,2,7.81857071859023e-14,0.99619882537337,0.00380117462655211
129,-0.340968579860405,3,3.87139291780014e-05,0.0264578413050985,0.973503444765724
130,-4.15657236263585,2,1.78311905049262e-15,0.999121499943318,0.000878500056680526
131,5.80314190791747,1,0.999999954468242,4.4715921523979e-17,4.55317580541361e-08
132,-0.331132036391221,3,4.04553924763239e-05,0.0257602565925848,0.974199288014939
133,2.39448658774692,1,0.870452880241475,1.71124442711571e-06,0.129545408514098
134,4.19719343873948,1,0.999946610280968,4.62183515219164e-12,5.33897144102941e-05
135,0.263175646405474,3,0.000564541016363165,0.00501206904311967,0.994423389940517
136,3.01417329959071,1,0.990357893613844,2.26185024450534e-08,0.00964208376765393
137,1.11107932832045,3,0.0231314870636476,0.000462435045189679,0.976406077891163
138,-3.64048170256511,2,7.26747463432157e-14,0.996304852035374,0.00369514796455341
139,-2.42949236407952,2,3.97519923088573e-10,0.901993098249671,0.0980069013528087
140,-0.05972327604261,3,0.000135397841951316,0.0122502577966018,0.987614344361447
141,-0.0981787440052344,3,0.000114163114815952,0.0136185771969034,0.986267259688281
142,-2.43917927137988,2,3.71748104657027e-10,0.904355631827971,0.0956443678002808
143,-1.18645863857947,3,7.48199184468929e-07,0.223173438528939,0.776825813271877
144,5.09677704427424,1,0.999998980787587,7.17792092156908e-15,1.01921240564477e-06
145,3.99465597172183,1,0.999869833720587,1.98234523336263e-11,0.00013016625958978
146,4.70731066739808,1,0.999994343065379,1.18047620884861e-13,5.65693450240491e-06
147,5.03410773473746,1,0.99999865713185,1.12635604841662e-14,1.34286813882516e-06
148,4.2234804149153,1,0.999952442118581,3.82594879147544e-12,4.75578775928474e-05
149,-3.87870761286602,2,1.31320428393589e-14,0.998095154275806,0.00190484572418091
150,5.16296455596733,1,0.999999238320466,4.46001648195595e-15,7.61679529617929e-07
